帖子ID,标题,类型,评论用户,UID,评论时间,TID,评论内容
29859507,xiuno转dz教程或者插件,求助,加菲猫，,3125862,2020-7-17 18:29:32,29859347,[, 'xiuno不更新了，想转dz，有没有教程或者插件，官方赶紧注意起来啊，xiuno用户也不少，出个转换插件，能吸引来不少客户啊！或者有没有人会的，留联系方式和报价！@admin ']
29859507,xiuno转dz教程或者插件,求助,allthebest,932474,2020-7-17 21:04:59,29859352,<td class="t_f" id="postmessage_29859352"></td>
29859507,xiuno转dz教程或者插件,求助,evilvoy,730059,2020-7-18 05:02:24,29859361,<td class="t_f" id="postmessage_29859361">discuz自己的更新都是兼职在做 哪里有空管第三方 </td>
29859507,xiuno转dz教程或者插件,求助,加菲猫，,3125862,2020-7-18 15:25:46,29859379,<td class="t_f" id="postmessage_29859379"><div class="quote"><blockquote><font color="#999999">allthebest 发表于 2020-7-17 21:04</font><font color="#999999"></font></div>感觉今年排不上了</td>
29859507,xiuno转dz教程或者插件,求助,加菲猫，,3125862,2020-7-18 15:26:51,29859380,<td class="t_f" id="postmessage_29859380"><div class="quote"><blockquote><font color="#999999">evilvoy 发表于 2020-7-18 05:02</font><font color="#999999">discuz自己的更新都是兼职在做 哪里有空管第三方</font></div>真难，啊啊啊啊啊啊</td>
29859507,xiuno转dz教程或者插件,求助,allthebest,932474,2020-7-18 15:28:45,29859382,<td class="t_f" id="postmessage_29859382"><div class="quote"><blockquote><font size="2"><font color="#999999">加菲猫， 发表于 2020-7-18 07:25</font></a></font>感觉今年排不上了</div>别指望会做</td>
29859507,xiuno转dz教程或者插件,求助,加菲猫，,3125862,2020-7-18 15:29:42,29859383,<td class="t_f" id="postmessage_29859383"><div class="quote"><blockquote><font color="#999999">allthebest 发表于 2020-7-18 15:28</font><font color="#999999">别指望会做</font></div>那就只能等大佬，看看有没有人会做个教程之类的，手工转也行</td>
29859507,xiuno转dz教程或者插件,求助,crx349,991621,2020-7-18 15:34:52,29859384,<td class="t_f" id="postmessage_29859384"><div class="quote"><blockquote><font size="2"><font color="#999999">加菲猫， 发表于 2020-7-18 15:29</font></a></font>那就只能等大佬，看看有没有人会做个教程之类的，手工转也行</div>你可以自己做转换插件哦 自己动手丰衣足食哦</td>
29859507,xiuno转dz教程或者插件,求助,加菲猫，,3125862,2020-7-18 15:41:12,29859385,<td class="t_f" id="postmessage_29859385"><div class="quote"><blockquote><font color="#999999">crx349 发表于 2020-7-18 15:34</font><font color="#999999">你可以自己做转换插件哦 自己动手丰衣足食哦</font></div>我技术不到位，怕自己弄，把数据都弄丢了，当误时间和用户体验啥的，等大佬吧</td>
29859507,xiuno转dz教程或者插件,求助,加菲猫，,3125862,2020-7-22 13:40:45,29859507,<td class="t_f" id="postmessage_29859507">难啊啊啊啊啊啊啊</td>
