name,salary,edu,exp,demand,classification,treatment,time,detail,com_name,industry,people_num,address,introduce,city
前端人员,8000-10000元/月,学历不限,经验不限,招 1人,WEB前端开发,五险一金,2020-07-24发布,"
                    Web前端  HTML5Javascript CSS AngularJS 移动端职位描述:1.负责公司产品的包含PC端，移动端的开发，调试和维护;具备跨终端的前端开发能力2.利用各种web技术进行前端页面制作和网站交互功能实现;3.与后台工程师协作，进行WEB前端表现层及与前后端交互的设计和开发，完成数据交互、动态信息维护及展现;4.参与讨论制订Web框架，参与负责系统模块的设计、开发、产品化等工作;5.从视觉和易用性角度，为网页设计提供改进建议，为网站/客户端的页面提供持续优化方案，满足性能安全性要求;6.配合测试进行代码的调试、BUG修复、浏览器兼容性调优;任职要求：1.大专及以上学历毕业，计算机相关专业，一到三年以上前端项目实际开发经验,请注意:不含实习时间;2.精通移动端开发;3.精通各种Web技术HTML5/XHTML/CSS/JavaScript/AJAX/XML/JSON等;4.精通AngularJs，熟悉VueJs、 Reactjs等 常见框架;5.能高效还原UI设计图稿的输出，对重构及模块化框架有接触或了解，如: bootstrap，easyui等 ;6.深刻理解Web标准，对可用性、可访问性等相关知识有实际的了解和实践经验;7.精通前端性能优化，了 解各主流浏览器特性使页面兼容主流浏览器;8.负责功公司平台PC端，app端开发，实现对编码质量进行监控，改善用户体验;9.有解决问题，钻研新技术的兴趣和能力;10.具备良好的团队意识及创新思维、自我激励能力，善于与人合作，能够很好地与UI、产品进行沟通;
                ",上海万物巨稀科技有限责任公司,其他行业+互联网/电子商务+媒体传播,100-499人,上海-闵行-虹桥	程家桥路168弄39号313室,"
                    上海万物巨稀科技有限责任公司成立于2019年，注册资金1000万，是专业从事互联网和新媒体运营推广营销的公司，公司涉及化妆品、汉服等产品的整合推广的文化型企业。主营业务包含创意设计，营销推广，整合传播;销售面涵盖电子商务，移动终端等多元化渠道。公司筹建伊始，需要大量有理想的优秀人才加入!这是创业型公司，规模不大但重视每- -位成员的职业发展，提供有竞争力的薪酬和更好生活品质。我们期待有更多有梦想的年轻人，加入到这一支富有活力的时尚团队中，共同创造美好事业，成为业界领先的精英团队。欢迎加入万物巨稀，这是一-个年轻人的舞台，也是你梦想开始的地方;她充满活力与激情，是一-家传播时尚与美的公司，一家备受瞩目的希望之星。我们提供:1、完善的福利(按国家规定)2、合理的绩效奖金及提成制度3、境内外公司旅游(带 薪)4、丰富多彩的团队活动
                ",上海
前端开发,8000-12000元/月,本科,经验不限,招 若干人,WEB前端开发,五险一金年底双薪周末双休,2020-11-11更新,"
                    前端开发工程师（Vue.js）【工作职责】1、主要负责公司应用前端网页的设计、适配、开发工作；2、根据产品需求按时高质完成软件开发和维护工作，不断优化和提升用户体验；3、和团队成员进行有效沟通协作，共同实现工作目标。4、通过敏捷开发方式高质、高效地完成任务；考虑和兼顾用户体验、性能、可维护性等问题。【任职条件】1、本科及以上学历，二年以上前端/移动端的开发经验；2、熟练掌握Vue.js，熟练使用 Vue 及其全家桶，并对 Vue 核心原理有较深理解；3、熟练JavaScript（ES5，ES6）标准，有过丰富的开发经验；4、具备良好的团队合作精神、沟通能力，有较强的逻辑思维能力。【具有以下经验者优先】1、热爱前端，精通html5、css3、javascript(ES6/ES7)、nodejs、react native等前端开发技术，熟悉常用前端框架；2、有代码洁癖，对代码精益求精，对技术有饥渴热情。【岗位职责】负责核心产品 前端网页、微信及其他平台小程序的开发及优化设计并完善前端框架，提高页面性能，参与制定JS、CSS、HTML开发规范解决研发过程中遇到的技术难题，研究前端新技术，实现页面较复杂交互功能【岗位要求】具备扎实的 JavaScrpt / HTML / CSS 知识，能够独立开发 JS 模块，具有编写原生 JS 代码的能力熟练掌握较新Web前端框架 (React/Angular 1,2/Vue)，熟练使用 Vue 及其全家桶，并对 Vue 核心原理有较深理解熟悉浏览器的资源加载、渲染机制，熟悉性能优化、跨平台兼容性问题，有Web安全、以及系统架构能力和经验了解以下缓存中的一种或多种优先：redis，memcache 等熟练使用 webpack 等构建工具，熟练使用Git
                ",上海汝点信息科技有限公司,互联网/电子商务,1-49人,上海-浦东-源深	上海市浦东新区商城路1900号-1105室,"
                    老板使用58招人神器发布该职位，公司招人的诚意大到无需描述，赶紧来应聘吧。
                ",上海
Web前端,7000-10000元/月,大专,3-5年,招 若干人,WEB前端开发,五险一金周末双休,2020-07-08更新,"
                    完成Web前端应用、交互代码开发
                ",火神（上海）网络科技有限公司,金融/银行,100-499人,上海-青浦-华新	上海市青浦区华新镇华隆路1777号D座605室,"
                    从事网络科技，电子科技，数码科技，计算机科技，通讯科技，物联网科技专业领域内技术开发，技术转让，技术咨询，技术服务，商务信息咨询，企业管理咨询电子商务。计算机硬件开发，计算机软件开发及维护。
                ",上海
WEB前端开发,薪资面议,大专,1-2年,招 2人,WEB前端开发,五险,2020-12-17更新,"
                    工作内容：要求离职状态可立即到岗！！职位要求：1、有扎实的前端基础, 熟练掌握包括但不限于js/JQuery/nodejs/css/html/less/sass等前端技术，有3-5年的前端开发经验；2、项目中熟练使用过React, Vue/Angular可作为加分项；3、熟悉webpack的配置, 熟悉git操作，有处理浏览器兼容性的经验；4、熟悉http、web Socket、REST API等网络通讯协议；；5、了解一门非前端的语言（如Java/PHP/Python）者优先；6. 熟悉CSS3、HTML5，能按业务需求实现页面编写与数据交互，熟悉Ajax7. 熟练使用Chorme，Firebug等进行前端代码调试；8. 熟悉网络请求及处理，熟悉WEB应用，熟练进行前后端应用整合及调试；9. 有良好的代码编写习惯和较强的沟通能力，搭建过项目前端框架及自行编写前端公共工具者优先。工作时间：9：00-18：00
                ",中民车联科技有限公司,互联网/电子商务,100-499人,上海-浦东	上海浦东泰谷路18号鲁能大厦6楼,"
                    
                ",上海
教育前端销售,9000-18000元/月,大专,1年以下,招 若干人,招生/课程顾问,五险一金年底双薪,2020-09-29更新,"
                    技能要求：晚托教师（一）主要工作职责：1、管理学员作业和进行答疑及背默读，作业后跟进孩子个性化学习，如：雏鹰班（1年级）双师教学（录播＋跟进互动）；成长班（2/3/4年级）错题训练，名校加练和阶段复习等 ；2、根据学生情况定期进行数据分析总结，与学生家长进行有效及时沟通，并建立长期、稳定、良好的信任关系，杜绝发生家长投诉；3、为在读学生提供高质量的服务，协助主管促使学生续费；引导学生 、转介绍新学生。（二）任职资格要求：1、年龄21-30岁，全日制统招大专及以上学历（条件优秀者可适当放宽）；2、2年以上教育培训行业相关经验，1年及以上晚托辅导相关经验，带教学生经验较为丰富，过往带教学生人数达10人及以上；3、小学语数英基础知识扎实，可以独立辅导学生作业；4、普通话标准，无口音，外在形象良好，有亲和力，性格外向开朗；5、有较强的学习能力、应变能力及抗压能力，能适应线上辅导学生的工作模式；6、热爱教育行业，良好的客户服务意识，有爱心和耐心，喜欢小朋友；7、加分项： 有教师资格证者优先； 过往带教学生人数达15人及以上者优先； 有线上授课经验者优先。【晋升路线：】预备A编晚托老师   A编晚托老师   校区主管  校区校长  区域校长【职位亮点】1、大小周模式，一周单休一周双休（周一到周五13:00-21:00，单休当天作息10：00-16:00）；2、生源充足，只要你想，可以申请多排课，月薪达9000元-12000元；3、晋升快，个人发展机会多。
                ",上海新田餐饮有限公司杨南路分公司,其他行业,1-49人,上海-徐汇-徐家汇	上海市徐汇区漕溪北路197号,"
                    
                ",上海
web前端开发,薪资面议,学历不限,经验不限,招 2人,WEB前端开发,五险一金周末双休,2020-12-17更新,"
                    技能要求：Web前端，Vue，CSS，Javascript，HTML5，CSS31、专科及以上学历，计算机相关专业2、1年以上web前端开发经验3、熟练掌握 HTML、JS、ES6、CSS等基础知识4、熟练掌握 Vue、React等常用框架，熟练组件化开发模式5、熟悉npm、less、webpack、gulp、git等开发工具6、熟悉http网络协议，以及json等数据协议7、有Echart 开发经验优先考虑
                ",德州鲨云电子商务有限责任公司,互联网/电子商务,1-49人,上海-黄浦-老西门	陆家嘴软件园,"
                    老板使用58APP商家版发布该职位，招人的诚意大到无需描述，赶快来应聘吧。
                ",上海
uni前端开发,8000-10000元/月,学历不限,经验不限,招 5人,WEB前端开发,五险一金,2020-12-02更新,"
                    岗位职责：1、手机APP软件前端开发，使用UNI-APP技术；2、根据产品需求，分析并给出前端解决方案;3、改善用户体验与平台兼容性；4、能独立进行常规的UI设计，组件开发；5、能独立调试、打包、发布；任职要求：• 具备使用uniapp跨平台输出iOS和Android应用能力• 熟练掌握前端开发技术(HTML5、JS、JSON、XHTML、CSS3)，了解各项技术的相关标准• 熟悉iOS和Android的打包、签名以及上架• 熟悉原生JS,熟练运用Vue框架，以及webpack等自动化工具• 熟练使用各种调试、抓包工具，能独立分析、解决和归纳问题
                ",上海奇旭网络科技有限公司,互联网/电子商务,1-49人,上海-金山-金山新城	金山区龙皓路万达商务楼2号楼1207室,"
                    上海奇旭网络科技有限公司是一家以互联网平台运营、WEB应用开发、软件开发、大数据分析、移动互联网通讯技术、云计算、营销推广、技术培训等为核心的科技公司。我公司主要以技术研发创新为主导，把握互联网行业的需求，利用互联网核心技术为客户提供稳定、可靠、功能优异的软硬一体解决方案。我们公司已推出十几个行业的解决方案，跟多家企事业单位合作，已经广泛应用于加盟店、连锁店、医院、商场、咖啡厅、KTV、商业地产、旅游景点、快捷酒店等行业，我们秉承“为合作伙伴创造价值”的核心价值观，并以“诚实、宽容、创新、服务”为企业精神，通过自主创新和真诚合作为互联网及信息服务行业创造价值。
                ",上海
Java前端开发,4500-8000元/月,大专,经验不限,招 3人,WEB前端开发,周末双休话补加班补助包住包吃房补五险一金,2020-12-20更新,"
                    Java基础知识扎实，熟悉spring Boot框架，熟悉MySQL数据库，逻辑清晰，接受能力强，工作经验一年左右,薪资 3-5K、可接受实习生做五休二、早九晚六交社保
                ",上海誉骋文化传播有限公司,其他行业,50-99人,上海-宝山	上海宝山蕰川路1188弄66号,"
                    公司坐落于张江科技园区，主要从事、小型电子信息系统。电子产品的设计、开发、生产、销售，提供电子技术开发及技术服务，销售自产产品，保税物流，维修，商业性检测。公司涉足多个领域，对新兴产业具有开发，以人为本，
                ",上海
Web前端开发,10000-15000元/月,学历不限,经验不限,招 若干人,WEB前端开发,五险一金加班补助免费培训周末双休环境好交通补助饭补,2020-09-09发布,"
                    工作内容：1) 负责Web前端页面开发，各类交互设计和实现；2) 负责页面易用性改进和技术优化；3) 根据总体设计完成软件的设计与开发工作；4) 编写相关技术文档。岗位要求：1、本科以上学历，计算机相关专业，2年以上前端开发工作经验。2、了解常见前端框架/库，如：AngularJS，React，Vue3、熟练掌握H5、CSS3、ES64、有小程序项目经验的优先考虑5、有团队或独自开发项目经验的优先考虑我们给你提供：1、朝九晚六，弹性上班制，周末双休，法定节假日休息；2、试用期3个月，表现优秀可提前转正；3、入职即缴纳五险一金，午餐补助，交通补助；4、年终奖13薪-17薪、旅游补贴、培训、年度体检，下午茶、生日会，团建等；5、优越的办公环境，氛围轻松，团队积极努力，同事友善热情；6、团队年轻，内部扁平化管理，领导公正平等，有晋升机会。我们的优势：阿里多年战略合作伙伴服务150+国际知名品牌业内具有相当竞争力的福利待遇；一群能拼敢玩的团队小伙伴；多种方向的发展晋升渠道；你想要的工作环境，我们都努力去为你营造！
                ",上海莫凡信息技术有限公司,其他行业,1-49人,上海-闵行-莘庄	上海市闵行区莘庄镇莘松路380号,"
                    老板使用58招人神器发布该职位，公司招人的诚意大到无需描述，赶紧来应聘吧。
                ",上海
Web前端开发工程师,8000-16000元/月,本科,3-5年,招 2人,WEB前端开发,五险一金周末双休话补加班补助饭补房补交通补助年底双薪,2020-12-14发布,"
                    工作职责：1、负责企业内部系统开发和优化；2、与需求人员和后台人员沟通，理解业务，使用合适的解决方案解决用户问题；3、关注前端前沿技术研究，通过新技术服务团队和业务；4、工作中主要用到的技术栈是Angular、TypeScript等。 任职要求：1、计算机相关专业及本科学历，三年以上前端工作经验；2、精通HTML、CSS、JS，熟悉页面架构和布局，熟悉HTML5/CSS3等常用技术；3、精通JavaScript、AJAX、DOM、jQuery等技术；4、熟悉Angular框架，了解React、Vue.js等前端主流MVC/MVVM框架，熟练掌握面向对象编程以及事件驱动和数据驱动的编程风格，能够独立完成复杂前端模块的设计与实现；5、熟悉Node.js，熟练使用Grunt、Gulp、Webpack等构建工具；6、具有良好的沟通能力和团队合作精神、优秀的分析问题能力和解决问题的能力；7、有企业信息系统、CRM系统开发经验者优先。薪资：面议
                ",昆山典臣信息咨询有限公司,咨询/顾问,50-99人,上海-嘉定	上海嘉定慧创国际392号楼,"
                    昆山典臣咨询有限公司，公司设有技术部、采编部、营销部、研发部、有色部、钢铁部、炉料部、客服商务部等部门。公司现有各类采编人员与行情分析专家全天密切跟踪金属市场运行轨迹，凭借稳固密切、可靠的渠道，24小时不间断地直联各地大宗公司，极速发布全国主要的金属市场集散地当日客观、公正的货品成交参考、动态资讯和专家分析评论，并在浩如烟海的资讯里*时间为您提供较具商业价值的资讯。
                ",上海
