title,price,tourist,dianping,percent,subtitle
<乌镇西栅+西塘古镇1日游>纯玩0购物0自费，乌镇西塘，双5A水乡，邂逅千年西塘，打卡网红乌镇，充实1整天,268,449,86人,97,上海成团| 纯玩 乌镇西栅 西塘古镇 
<苏州-乌镇-杭州3日游>深度纯玩，苏州5A双园林，保证1晚5星酒店，夜游乌镇，赏西栅日夜全景，赠杭州西湖游船，一天一座城，一车到底,498,1.3万,2291人,94,上海成团| 拒绝走马观花 不换车导 纯玩无购物 1天1座城 苏州乌镇杭州 赏乌镇夜...
[春节]<华东五市-乌镇双飞5日游>出游之冠0购丨国际酒店X西栅&拈花湾双客栈丨灵山祈福+西湖登岛1元实景+周庄船游丨赠年夜饭丨水灯会/逛集市过江南年,2062,2.9万,8717人,98,长沙出发机票可选| 南京成团| 宁进沪出 一车一导 错峰特惠  网红拈花湾 双水乡 纯玩0购物 疫后安...
<杭州-乌镇2日游>深度纯玩，精选5A景点，升级不加价，1晚乌镇度假酒店，夜游西栅，赏乌镇日夜美景，漫步水乡，船游西湖，专车专导,302,5321,1064人,94,上海成团| 专车专导 深度漫游乌镇 无强制消费 乌镇西栅 亲子休闲 
<上海-苏州-乌镇-杭州4日游>深度纯玩，畅游魔都，精选双5A园林，宿乌镇，夜游西栅，赏日夜全景，船游西湖，一天一座城,663,2.3万,4144人,94,上海成团| 住宿可升级 专职专导 吴中名胜虎丘 中国四大园林 杭州西湖 畅游魔都 
[春节]<华东五市-乌镇双飞6日游>万人0购丨国际五星X西栅&拈花湾客栈丨水乡日夜美景丨灵山祈福+西湖登岛1元实景+周庄环镇丨赠年夜饭丨赏水灯会过大年,2290,2.9万,8717人,98,长沙出发| 上海成团| 一车一导 错峰特惠  网红拈花湾 双水乡 纯玩0购物 疫后安心游
[春节]<华东六市+绍兴+乌镇双飞6日游>跟着课本下江南/四大名镇水乡/打卡鲁迅故居三味书屋/夜宿周庄+升宋城千古情主题酒店/太湖&西湖两次船游/春节预售,1657,3.0万,9640人,95,长沙出发| 南京成团| 秦淮十六味 太湖鼋头渚 船游木渎古镇 浪漫周庄 船游西湖 鲁迅三味书屋
<苏州-乌镇-杭州3日游>高铁出游，深度纯玩，精选双5A园林，2晚升级度假酒店，感受西栅日夜美，船游西湖，1天1座城，专车专导,587,1.1万,1864人,96,南京成团| 西湖游船 乌镇西栅夜景 1天1座城 纯玩不进店 漫游乌镇 可升级住宿 
<苏州-乌镇-杭州3日游>纯玩0购物，含2早3正餐，1车1导，赠四季周庄演出，价值150元，5A3水乡，限量升周庄客栈以及宋城主题酒店,458,3595,780人,97,上海成团| 1车1导 绝不进店 含2早3正 
<苏州-乌镇-杭州3日游>深度纯玩，宿乌镇景区内客栈，赏西栅日夜全景，游苏州双5A园林，升级苏州品牌酒店，含西湖游船，一天一座城，专车专导,721,8110,1437人,95,上海成团| 乌镇西栅夜景 1天1座城 每天一个5A 8:30发车 乌镇西栅 寻味苏...
<上海迪士尼-苏州杭州-乌镇双飞5日游>严选迪士尼丨赠旅拍，夜宿乌镇/豪华型酒店，高餐标50元（水乡宴+龙井御茶宴），纯玩0购，接机New方式,3253,4748,1232人,96,长沙出发| 上海成团| 上海迪士尼 乌镇西栅 嗨翻暑期 慢游江南
[春节]<华东六市+绍兴+乌镇+杭州双飞5日游>跟着课本下江南/四大名镇水乡/打卡鲁迅故居三味书屋/夜宿周庄+升宋城千古情主题酒店/太湖&西湖两次船游,1670,2.7万,8953人,95,长沙出发机票可选| 南京成团| 秦淮十六味 太湖鼋头渚 船游木渎古镇 风车之乡周庄 船游西湖 鲁迅三味...
