Python编程,[美] 埃里克·马瑟斯,人民邮电出版社,图灵教育,从入门到实践,Python,2016-7-1,459,89.00元,平装,图灵程序设计丛书·Python系列,9787115428028, 9.1 ,3161,['Python', '编程', 'python', '入门', '计算机', '软件开发', 'IT', 'Programming']
黑客与画家,阮一峰,人民邮电出版社,图灵教育,硅谷创业之父Paul,Hackers,2011-4,264,49.00元,平装,,9787115249494, 8.7 ,18670,['计算机', '互联网', '黑客', '创业', '编程', '软件开发', '阮一峰', '思维']
计算机程序的构造和解释(原书第2版),Harold Abelson,机械工业出版社,华章IT,原书第2版,Structure,2004-2,473,45.00元,平装,计算机科学丛书,9787111135104, 9.5 ,2363,['计算机科学', '计算机', '编程', 'SICP', '程序设计', '经典', 'LISP', 'Scheme']
程序员修炼之道(第2版),David Thomas,电子工业出版社,博文视点,通向务实的最高境界,The,2020-4-1,344,89.00元,平装,,9787121384356, 9.3 ,145,['程序员', '软件工程', '计算机', '编程', '计算机科学', '編程', '成长', '修炼']
Python编程快速上手,Albert Sweigart,人民邮电出版社/异步图书,异步图书,让繁琐工作自动化,Automate,2016-7-1,391,69.00元,平装,,9787115422699, 9.0 ,751,['Python', '编程', 'python', '计算机', '入门', '自动化', '计算机科学', 'Web及编程']
代码大全（第2版）,金戈,电子工业出版社,博文视点,,Code,2006-3,944,128.00元,平装,传世经典书丛,9787121022982, 9.3 ,3862,['编程', '代码大全', '软件开发', '计算机', '软件工程', '程序设计', '代码', 'programming']
编码,左飞,电子工业出版社,博文视点,隐匿在计算机软硬件背后的语言,Code:,2010,392,55.00元,平装,,9787121106101, 9.2 ,3308,['计算机', '计算机科学', '计算机原理', '编程', '编码', '科普', '底层探索', '技术']
算法图解,[美] Aditya Bhargava,人民邮电出版社,图灵教育,,Grokking,2017-3,196,49.00元,平装,图灵程序设计丛书,9787115447630, 8.4 ,1827,['算法', '计算机', '编程', 'Python', '计算机科学', '通俗易懂', '初级', 'IT']
代码整洁之道,[美]Robert C. Martin,人民邮电出版社,,,Clean,2010-1-1,388,59.00元,平装,异步图书-程序员必读经典系列,9787115216878, 8.6 ,1713,['编程', '代码整洁之道', '软件工程', '计算机', '软件开发', 'Programming', '程序设计', '编程实践']
C程序设计语言,（美）Brian W. Kernighan,机械工业出版社,华章IT,第,The,2004-1,258,30.00元,平装,计算机科学丛书,9787111128069, 9.4 ,4569,['C', 'c语言', '编程', '计算机', '程序设计', '经典', '编程语言', 'C/C++']
数据密集型应用系统设计,Martin Kleppmann,中国电力出版社,,,Designing,2018-9-1,519,128,,O'reilly系列,9787519821968, 9.6 ,474,['分布式系统', '计算机', '分布式', '数据库', '架构', '计算机科学', '大数据', '数据']
Java编程思想 （第4版）,陈昊鹏,机械工业出版社,华章IT,,Thinking,2007-6,880,108.00元,平装,计算机科学丛书,9787111213826, 9.1 ,3828,['Java', '编程思想', '编程', '计算机', 'TinkingInJava', '程序设计', '经典', '软件开发']
Python深度学习,[美] 弗朗索瓦•肖莱,人民邮电出版社,图灵教育,,Deep,2018-8,292,119.00元,平装,图灵程序设计丛书,9787115488763, 9.6 ,621,['深度学习', 'Python', '人工智能', '机器学习', 'python', '计算机', 'Keras', '神经网络']
流畅的Python,[巴西] Luciano Ramalho,人民邮电出版社,图灵教育,,Fluent,2017-5-15,628,139元,平装,图灵程序设计丛书·Python系列,9787115454157, 9.4 ,729,['Python', 'python', '编程', '计算机', '进阶', '程序设计', '计算机科学', '图灵社区']
程序员修炼之道,Andrew Hunt,电子工业出版社,博文视点,从小工到专家,The,2005-1,333,48.00元,平装,,9787505397194, 8.6 ,2303,['编程', '软件开发', '程序员', '程序员修炼之道', '计算机', '程序人生', '软件工程', 'programming']
深入理解计算机系统（原书第3版）,Randal E.Bryant,机械工业出版社,,,Computer,2016-11,737,139.00元,平装,计算机科学丛书,9787111544937, 9.8 ,1087,['计算机', '计算机科学', '计算机系统', '计算机体系结构', '操作系统', 'CSAPP', '计算机底层', '编程']
C Primer Plus（第6版）中文版,普拉达 (Stephen Prata),人民邮电出版社,,第六版,C,2016-4-1,730,CNY,平装,C和C++实务精选,9787115390592, 9.4 ,758,['C语言', 'C', '编程', '计算机', '计算机科学', '经典', 'C++', '软件开发']
算法导论（原书第2版）,[美] Thomas H.Cormen,机械工业出版社,华章IT,,Introduction,2006-9,754,85.00元,平装,计算机科学丛书,9787111187776, 9.3 ,5001,['算法', '算法导论', '计算机', '编程', '经典', '计算机科学', 'algorithm', '程序设计']
JavaScript高级程序设计（第3版）,李松峰,人民邮电出版社,,,Professional,2012-3-29,748,99.00元,平装,图灵程序设计丛书·Web开发系列,9787115275790, 9.3 ,2387,['JavaScript', 'Web前端开发', '前端开发', '前端', 'javascript', '编程', 'Web开发', '计算机']
深入理解计算机系统（原书第2版）,（美）Randal E.Bryant,机械工业出版社,华章IT,,Computer,2011-1-1,702,99.00元,平装,计算机科学丛书,9787111321330, 9.7 ,2567,['计算机系统', '计算机', '计算机科学', '操作系统', '操作系统&体系结构', '编程', '体系结构', '程序员']
算法（第4版）,塞奇威克 (Robert Sedgewick),人民邮电出版社,图灵教育,,Algorithms,2012-10-1,636,99.00元,平装,图灵程序设计丛书,9787115293800, 9.4 ,1264,['算法', '计算机', '编程', '计算机科学', '计算机-算法', 'Algorithms', 'Java', '数据结构']
设计模式,[美] Erich Gamma,机械工业出版社,华章IT,可复用面向对象软件的基础,Design,2000-9,254,35.00元,平装,计算机科学丛书,9787111075752, 9.1 ,2920,['设计模式', '软件工程', '计算机', '编程', '软件开发', '软件设计', '程序设计', 'design']
