name,structure,area,floor,price
金洲东方铭苑 -大润发,1室1厅,61.58平米,中楼层(共15层) ,40万
香山美境 -栗雨（美的城）,2室1厅,98.2平米,低楼层(共18层) ,53万
天鹅湖一号 -天鹅湖公园,3室2厅,136.5平米,高楼层(共30层) ,82.8万
水木 · 阳光上东 -向阳广场,3室2厅,98平米,中楼层(共21层) ,65万
枫林绿洲 -庆云山,3室2厅,116.78平米,中楼层(共7层) ,64.8万
嘉盛华府 -大润发,3室2厅,127.8平米,中楼层(共6层) ,79.8万
德馨华厦 -红旗广场,3室2厅,129平米,高楼层(共21层) ,65万
美的城 -栗雨（美的城）,3室2厅,100平米,高楼层(共32层) ,74.5万
枫林绿洲 -庆云山,3室2厅,129平米,中楼层(共12层) ,61.8万
中建江湾壹号 -湖南工业大学,4室2厅,139.13平米,中楼层(共33层) ,101万
佳兆业金域天下三期 -栗雨（美的城）,3室2厅,97.45平米,中楼层(共33层) ,73.8万
经世龙城 -栗雨（美的城）,3室2厅,138平米,中楼层(共17层) ,102万
中欧昆仑首府 -株洲大道（体育馆）,3室2厅,123.74平米,低楼层(共33层) ,85万
锦玉华庭 -向阳广场,2室2厅,82.34平米,高楼层(共18层) ,56.8万
水竹二村 -大润发,2室2厅,74.8平米,中楼层(共7层) ,42万
春藤小镇 -株洲西站,4室2厅,119.9平米,高楼层(共26层) ,103万
置信逸都花园 -荷塘大道,3室2厅,100.75平米,低楼层(共18层) ,43万
解放一村 -田心,2室2厅,69.56平米,高楼层(共6层) ,24万
株洲奥园养生城 -湖南工业大学,6室2厅,231平米,高楼层(共28层) ,220万
恒大名都 -神农城,2室2厅,79.75平米,高楼层(共27层) ,64.8万
湘江四季花园 -庆云山,4室2厅,157平米,中楼层(共13层) ,93.8万
湘江四季花园 -庆云山,3室2厅,136.5平米,低楼层(共13层) ,78万
东环新城 -工学院,3室2厅,106平米,中楼层(共6层) ,66.8万
奥园广场 -奥园城市广场,4室2厅,141平米,低楼层(共32层) ,105万
学堂冲二村 -芦淞区,2室2厅,69.5平米,中楼层(共8层) ,39.5万
印象华都二期 -田心,3室2厅,115平米,中楼层(共34层) ,69万
向阳楼 -向阳广场,3室2厅,142平米,高楼层(共13层) ,70.8万
盛世华庭 -长江广场（市政府）,3室2厅,118平米,高楼层(共22层) ,82万
山河锦园 -株洲大道（体育馆）,3室2厅,114平米,中楼层(共25层) ,73.8万
兴城御景东方 -大润发,3室2厅,116平米,中楼层(共12层) ,88.8万
又见康桥 -红旗广场,2室2厅,67平米,中楼层(共4层) ,35.8万
未来城 -湖南工业大学,2室1厅,40平米,低楼层(共24层) ,39.8万
华晨 · 山水印象 -株洲西站,3室2厅,91.48平米,中楼层(共29层) ,58万
天润天城 -新华东路,2室2厅,96.99平米,中楼层(共30层) ,53.8万
株洲碧桂园 -株洲北,3室2厅,126平米,中楼层(共18层) ,78万
